Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.622,0.044,0.63,0.041,0.512,0.121,0.749,0.102,0.581,0.083,0.706,0.065
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6126760563380281,0.6134328358208956,0.6268656716417911,0.6,0.60431654676259,0.5833333333333334
2,0.6408450704225352,0.6576612903225806,0.525,0.7903225806451613,0.6222222222222222,0.7636363636363637
3,0.7112676056338029,0.7112676056338029,0.6338028169014085,0.7887323943661971,0.6870229007633588,0.75
4,0.6408450704225352,0.6432835820895522,0.6865671641791045,0.6,0.6433566433566433,0.6052631578947368
5,0.5915492957746479,0.600754417311892,0.273972602739726,0.927536231884058,0.40816326530612246,0.8
6,0.6690140845070423,0.6673615247170935,0.6086956521739131,0.726027397260274,0.6412213740458015,0.6774193548387096
7,0.6619718309859155,0.6628968253968255,0.5972222222222222,0.7285714285714285,0.6417910447761194,0.6935483870967742
8,0.5422535211267606,0.5723577235772357,0.3780487804878049,0.7666666666666667,0.4881889763779528,0.6888888888888889
9,0.6197183098591549,0.6423800850030358,0.48148148148148145,0.8032786885245902,0.5909090909090909,0.7647058823529411
10,0.6338028169014085,0.6342288557213931,0.6266666666666667,0.6417910447761194,0.6438356164383562,0.6619718309859155
11,0.6338028169014085,0.6382089552238807,0.56,0.7164179104477612,0.6176470588235294,0.6885245901639344
12,0.6549295774647887,0.6666666666666666,0.5,0.8333333333333334,0.608,0.7755102040816326
13,0.5774647887323944,0.5736387381957003,0.6075949367088608,0.5396825396825397,0.6153846153846154,0.6233766233766234
14,0.5985915492957746,0.6036331149493745,0.4246575342465753,0.782608695652174,0.5210084033613446,0.6739130434782609
15,0.5915492957746479,0.6054625199362041,0.40789473684210525,0.803030303030303,0.5166666666666667,0.7045454545454546
16,0.6338028169014085,0.636724960254372,0.5675675675675675,0.7058823529411765,0.6176470588235294,0.6774193548387096
17,0.5774647887323944,0.5933014354066984,0.3684210526315789,0.8181818181818182,0.4827586206896552,0.7
18,0.5774647887323944,0.59681592039801,0.25333333333333335,0.9402985074626866,0.3877551020408163,0.8260869565217391
19,0.647887323943662,0.6507936507936508,0.4444444444444444,0.8571428571428571,0.5614035087719298,0.7619047619047619
20,0.6197183098591549,0.6159855769230769,0.6538461538461539,0.578125,0.6538461538461539,0.6538461538461539
21,0.6830985915492958,0.6838395870557873,0.6575342465753424,0.7101449275362319,0.6808510638297872,0.7058823529411765
22,0.6408450704225352,0.6378968253968254,0.42857142857142855,0.8472222222222222,0.5405405405405406,0.7317073170731707
23,0.5422535211267606,0.5564597146875628,0.43037974683544306,0.6825396825396826,0.5112781954887218,0.6296296296296297
24,0.647887323943662,0.6472575516693164,0.6621621621621622,0.6323529411764706,0.6621621621621622,0.6621621621621622
25,0.6408450704225352,0.6428571428571429,0.5,0.7857142857142857,0.5853658536585366,0.7058823529411765
26,0.5211267605633803,0.5416583416583416,0.2987012987012987,0.7846153846153846,0.40350877192982454,0.6216216216216216
27,0.5985915492957746,0.5983870967741935,0.6,0.5967741935483871,0.6274509803921569,0.6575342465753424
28,0.676056338028169,0.687964637331726,0.5822784810126582,0.7936507936507936,0.6666666666666666,0.7796610169491526
29,0.6056338028169014,0.6311030741410488,0.4050632911392405,0.8571428571428571,0.5333333333333333,0.7804878048780488
30,0.6690140845070423,0.6987126245847177,0.5581395348837209,0.8392857142857143,0.6713286713286714,0.8421052631578947
